date,open,high,low,close,volume_ignore,market_cap_ignore,volume,market_cap
Apr-17-2022,2997.2418,3068.774,2900.591038,3064.8061,25849521739,3.57142E+11,25.85,357.14
Apr-16-2022,3062.7604,3085.402679,2993.2429,2998.1528,14763718400,3.67483E+11,14.76,367.48
Apr-15-2022,3047.5085,3077.3551,3019.6113,3064.2317,15160119968,3.66423E+11,15.16,366.42
Apr-14-2022,3025.38363,3048.986214,3004.1751,3047.2329,23006111150,3.65122E+11,23.01,365.12
Apr-13-2022,3122.8519,3148.2826,2989.8922,3025.707533,26582297731,3.70004E+11,26.58,370.00
Apr-12-2022,3036.10395,3134.407,3013.2999,3124.1736,30500782667,3.69784E+11,30.50,369.78
Apr-11-2022,2986.587013,3086.3396,2962.991067,3042.067412,37747924257,3.63907E+11,37.75,363.91
Apr-10-2022,3206.7931,3216.9408,2966.0036,2986.513994,29636449065,3.72749E+11,29.64,372.75
Apr-09-2022,3268.050935,3268.050935,3268.050935,3268.050935,17648769024,3.93188E+11,17.65,393.19
Apr-08-2022,3197.9921,3266.452679,3190.7633,3266.452679,25321252828,3.87785E+11,25.32,387.78
Apr-07-2022,3233.109855,3310.757896,3181.8331,3197.0275,28615327309,3.9204E+11,28.62,392.04
Apr-06-2022,3173.681729,3268.7389,3154.078973,3238.589493,36511988864,3.87188E+11,36.51,387.19
Apr-05-2022,3411.694262,3411.694262,3174.955628,3174.955628,37579667121,3.96516E+11,37.58,396.52
Apr-04-2022,3522.454431,3551.948457,3416.294949,3416.294949,27999827143,4.20123E+11,28.00,420.12
Apr-03-2022,3523.096957,3540.471,3425.088093,3521.983463,28208979399,4.19276E+11,28.21,419.28
Apr-02-2022,3444.198983,3573.3175,3423.292214,3520.924141,28103429518,4.19755E+11,28.10,419.75
Apr-01-2022,3456.4658,3526.407952,3442.77844,3442.77844,37472480597,4.18514E+11,37.47,418.51
Mar-31-2022,3285.492609,3473.542354,3228.196331,3452.560035,34345837122,4.02196E+11,34.35,402.20
Mar-30-2022,3387.408869,3442.900174,3273.10264,3287.191517,24315855326,4.0483E+11,24.32,404.83
Mar-29-2022,3404.908873,3445.591615,3343.04812,3389.656688,28170767239,4.07872E+11,28.17,407.87
Mar-28-2022,3336.272801,3476.4987,3336.272801,3408.382378,30811204580,4.10023E+11,30.81,410.02
Mar-27-2022,3294.195743,3429.982601,3282.243035,3330.982326,27477202773,4.02544E+11,27.48,402.54
Mar-26-2022,3149.463637,3292.163107,3134.184254,3290.474862,14160547218,3.81267E+11,14.16,381.27
Mar-25-2022,3107.888314,3152.8764,3093.937691,3148.620544,20321615182,3.75363E+11,20.32,375.36
Mar-24-2022,3115.563195,3191.0562,3092.8711,3110.01862,27651764587,3.76209E+11,27.65,376.21
Mar-23-2022,3034.650592,3124.490856,3016.5056,3112.869496,26185802972,3.68346E+11,26.19,368.35
Mar-22-2022,2971.953643,3035.693872,2934.302387,3032.374626,22252975793,3.57035E+11,22.25,357.03
Mar-21-2022,2897.019513,3045.887236,2892.210348,2975.12356,26056952661,3.59758E+11,26.06,359.76
Mar-20-2022,2865.824096,2959.0131,2839.67706,2899.602026,19877094901,3.47893E+11,19.88,347.89
Mar-19-2022,2950.245385,2962.4472,2832.041616,2867.028428,17790052779,3.48175E+11,17.79,348.17
Mar-18-2022,2941.942866,2979.017021,2915.253635,2946.0871,22101064704,3.54143E+11,22.10,354.14
Mar-17-2022,2822.085396,2978.675,2779.522537,2946.02773,21138622396,3.42204E+11,21.14,342.20
Mar-16-2022,2778.745613,2833.93253,2754.1739,2822.037814,24026359954,3.34881E+11,24.03,334.88
Mar-15-2022,2620.790469,2791.834541,2613.688283,2779.266016,22942450329,3.22558E+11,22.94,322.56
Mar-14-2022,2596.259656,2667.334034,2518.64818,2623.920012,17829431090,3.09124E+11,17.83,309.12
Mar-13-2022,2522.281257,2613.1585,2508.3859,2598.469708,16265850393,3.0804E+11,16.27,308.04
Mar-12-2022,2577.750542,2615.2419,2512.5811,2521.087426,10640645865,3.09775E+11,10.64,309.78
Mar-11-2022,2566.191612,2615.029,2566.191612,2584.040254,15228387212,3.10926E+11,15.23,310.93
Mar-10-2022,2617.918276,2674.405479,2535.223,2564.665902,19237647115,3.10496E+11,19.24,310.50
Mar-09-2022,2732.053927,2736.050623,2577.544071,2612.812553,21561721764,3.14434E+11,21.56,314.43
Mar-08-2022,2588.655843,2773.981643,2578.262341,2737.208499,24474104832,3.25793E+11,24.47,325.79
Mar-07-2022,2503.103464,2625.763,2498.434803,2585.452903,23721453504,3.07508E+11,23.72,307.51
Mar-06-2022,2569.549526,2644.386942,2458.17772,2503.16429,17797825340,3.05445E+11,17.80,305.45
Mar-05-2022,2676.7601,2689.4531,2561.7422,2565.707897,12411206368,3.16739E+11,12.41,316.74
Mar-04-2022,2629.957405,2691.8042,2608.021144,2677.936768,18990932486,3.17557E+11,18.99,317.56
Mar-03-2022,2852.993744,2852.993744,2595.710458,2626.627689,21749493537,3.25057E+11,21.75,325.06
Mar-02-2022,2963.764412,2980.45248,2805.653258,2853.323399,22524687192,3.47008E+11,22.52,347.01
Mar-01-2022,2983.4188,3049.816466,2929.507475,2954.231783,28155179556,3.57085E+11,28.16,357.08
Feb-28-2022,2931.7687,3042.9525,2885.6934,2980.1923,30933609287,3.53271E+11,30.93,353.27
